time,open,high,low,close,tick_volume,spread,real_volume
2024-09-17 06:15:00,1.11262,1.11285,1.1126,1.11266,269,1,0
2024-09-17 06:30:00,1.11265,1.11269,1.1124,1.11245,304,1,0
2024-09-17 06:45:00,1.11243,1.11255,1.11228,1.1124,321,1,0
2024-09-17 07:00:00,1.1124,1.11244,1.11223,1.11229,236,1,0
2024-09-17 07:15:00,1.11228,1.11234,1.11218,1.11233,207,1,0
2024-09-17 07:30:00,1.11232,1.11242,1.11227,1.1124,201,1,0
2024-09-17 07:45:00,1.11239,1.11246,1.11229,1.11245,229,1,0
2024-09-17 08:00:00,1.11244,1.11249,1.1122,1.11232,261,1,0
2024-09-17 08:15:00,1.11233,1.11259,1.1123,1.11257,299,1,0
2024-09-17 08:30:00,1.11257,1.11289,1.11255,1.11282,221,1,0
2024-09-17 08:45:00,1.11282,1.11282,1.1125099999999999,1.1126800000000001,322,1,0
2024-09-17 09:00:00,1.11269,1.1131199999999999,1.11257,1.11308,523,1,0
2024-09-17 09:15:00,1.11307,1.11308,1.11271,1.113,509,1,0
2024-09-17 09:30:00,1.11301,1.11335,1.11291,1.11309,542,1,0
2024-09-17 09:45:00,1.11308,1.11319,1.1121,1.1121,963,1,0
2024-09-17 10:00:00,1.11208,1.11229,1.11158,1.1117,1129,1,0
2024-09-17 10:15:00,1.11171,1.11255,1.11161,1.11241,915,1,0
2024-09-17 10:30:00,1.11242,1.1136,1.11242,1.11359,792,1,0
2024-09-17 10:45:00,1.11358,1.11379,1.11314,1.11363,982,1,0
2024-09-17 11:00:00,1.11363,1.11371,1.1133,1.11357,909,1,0
2024-09-17 11:15:00,1.11357,1.11368,1.11332,1.11338,737,1,0
2024-09-17 11:30:00,1.1134,1.11401,1.11337,1.11391,617,1,0
2024-09-17 11:45:00,1.11391,1.11463,1.1137299999999999,1.11444,878,1,0
2024-09-17 12:00:00,1.11444,1.11446,1.11368,1.11399,1062,1,0
2024-09-17 12:15:00,1.11398,1.11411,1.11377,1.11397,690,1,0
2024-09-17 12:30:00,1.11398,1.11403,1.11349,1.11357,710,1,0
2024-09-17 12:45:00,1.11355,1.11384,1.11347,1.11381,907,1,0
2024-09-17 13:00:00,1.11382,1.11398,1.11377,1.11383,622,1,0
2024-09-17 13:15:00,1.11382,1.11382,1.11339,1.11364,606,1,0
2024-09-17 13:30:00,1.11364,1.11383,1.11318,1.11341,616,1,0
2024-09-17 13:45:00,1.11341,1.11357,1.11325,1.11343,544,1,0
2024-09-17 14:00:00,1.11343,1.11352,1.11301,1.11321,590,1,0
2024-09-17 14:15:00,1.1132,1.11353,1.11314,1.11344,543,1,0
2024-09-17 14:30:00,1.11344,1.11381,1.11339,1.11377,608,1,0
2024-09-17 14:45:00,1.11377,1.11428,1.11369,1.11386,790,1,0
2024-09-17 15:00:00,1.11387,1.11418,1.11374,1.11388,1018,1,0
2024-09-17 15:15:00,1.11392,1.11398,1.11316,1.11333,1121,1,0
2024-09-17 15:30:00,1.1132900000000001,1.11438,1.11203,1.1124,3824,1,0
2024-09-17 15:45:00,1.11242,1.11266,1.1118,1.11249,2232,1,0
2024-09-17 16:00:00,1.11249,1.11278,1.11151,1.1126,1775,1,0
2024-09-17 16:15:00,1.1126,1.11275,1.11192,1.11196,1679,1,0
2024-09-17 16:30:00,1.11194,1.11218,1.1115,1.1121,1683,1,0
2024-09-17 16:45:00,1.11212,1.11226,1.11116,1.11132,2118,1,0
2024-09-17 17:00:00,1.11132,1.11266,1.11132,1.11266,1873,1,0
2024-09-17 17:15:00,1.11266,1.11283,1.11218,1.11242,1695,1,0
2024-09-17 17:30:00,1.11243,1.11272,1.11221,1.11235,1406,1,0
2024-09-17 17:45:00,1.11235,1.11279,1.11201,1.11246,1667,1,0
2024-09-17 18:00:00,1.11249,1.11264,1.11163,1.11197,1274,1,0
2024-09-17 18:15:00,1.11198,1.1123,1.11156,1.11198,1062,1,0
2024-09-17 18:30:00,1.11199,1.11227,1.11163,1.11172,995,1,0
2024-09-17 18:45:00,1.11173,1.11201,1.11153,1.11174,928,1,0
2024-09-17 19:00:00,1.11173,1.11208,1.11165,1.11194,889,1,0
2024-09-17 19:15:00,1.11194,1.11194,1.11152,1.11177,818,1,0
2024-09-17 19:30:00,1.11177,1.11217,1.11163,1.11199,862,1,0
2024-09-17 19:45:00,1.11198,1.1121,1.11184,1.11194,902,1,0
2024-09-17 20:00:00,1.11194,1.11209,1.11106,1.1114600000000001,1045,1,0
2024-09-17 20:15:00,1.11147,1.11178,1.11144,1.1116,837,1,0
2024-09-17 20:30:00,1.11161,1.11161,1.11113,1.11128,817,1,0
